SOURCE	TARGET	ENZYMES
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00328	2.6.1.7
C00025	C00123	2.6.1.6;2.6.1.42
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00407	2.6.1.42
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C03465	2.6.1.42
C00025	C01252	;2.6.1.7
C00025	C00233	2.6.1.6;2.6.1.42
C00025	C01717	;2.6.1.7
C00328	C01252	2.6.1.7
C00328	C00108	3.5.1.9;3.7.1.3
C00328	C01717	2.6.1.7
C00123	C00233	2.6.1.6;2.6.1.42
C05647	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00073	C00407	1.4.3.2
C00073	C00078	;1.4.3.2
C00073	C00155	;2.1.1.13;2.1.1.5;2.1.1.10
C00073	C00064	
C00152	C00064	3.5.1.38;6.3.5.4
C00407	C00078	1.4.3.2
C00407	C03465	1.4.3.2;2.6.1.42
C00936	C00078	
C01252	C01717	;2.6.1.7
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
